id,label
TEST_000,훼손
TEST_001,오염
TEST_002,훼손
TEST_003,훼손
TEST_004,오염
TEST_005,훼손
TEST_006,오염
TEST_007,훼손
TEST_008,오염
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,오타공
TEST_012,오염
TEST_013,오염
TEST_014,훼손
TEST_015,오염
TEST_016,훼손
TEST_017,터짐
TEST_018,오염
TEST_019,오염
TEST_020,가구수정
TEST_021,훼손
TEST_022,오염
TEST_023,터짐
TEST_024,훼손
TEST_025,훼손
TEST_026,훼손
TEST_027,훼손
TEST_028,훼손
TEST_029,훼손
TEST_030,훼손
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,곰팡이
TEST_035,훼손
TEST_036,훼손
TEST_037,훼손
TEST_038,오타공
TEST_039,훼손
TEST_040,오염
TEST_041,들뜸
TEST_042,석고수정
TEST_043,오염
TEST_044,오염
TEST_045,훼손
TEST_046,오염
TEST_047,울음
TEST_048,훼손
TEST_049,오염
TEST_050,오염
TEST_051,오염
TEST_052,곰팡이
TEST_053,면불량
TEST_054,훼손
TEST_055,훼손
TEST_056,훼손
TEST_057,훼손
TEST_058,훼손
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,오염
TEST_064,훼손
TEST_065,훼손
TEST_066,오염
TEST_067,오염
TEST_068,훼손
TEST_069,터짐
TEST_070,오염
TEST_071,오염
TEST_072,오염
TEST_073,오염
TEST_074,훼손
TEST_075,터짐
TEST_076,훼손
TEST_077,오염
TEST_078,울음
TEST_079,오염
TEST_080,훼손
TEST_081,훼손
TEST_082,울음
TEST_083,훼손
TEST_084,걸레받이수정
TEST_085,훼손
TEST_086,훼손
TEST_087,터짐
TEST_088,오염
TEST_089,오염
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,터짐
TEST_094,훼손
TEST_095,훼손
TEST_096,훼손
TEST_097,훼손
TEST_098,훼손
TEST_099,오염
TEST_100,피스
TEST_101,훼손
TEST_102,훼손
TEST_103,터짐
TEST_104,훼손
